province,crop_name,crop_name_en,category,production_kton,percentage,note,source
Cao Bằng,Xoài,Xoài,perennial,3.8,1.1,"Bảo Lâm, Thạch An","Niên giám Cao Bằng 2024, Mận/Đào ôn đới"
Bắc Kạn,Lúa,Rice,annual,112.5,64.4,,Niên giám Bắc Kạn 2024
Bắc Kạn,Ngô,Maize,annual,58.9,33.71,,Niên giám Bắc Kạn 2024
Bắc Kạn,Sắn,Cassava,annual,3.3,1.89,,Niên giám Bắc Kạn 2024
Bắc Kạn,Cây lâu năm (cần bổ sung),Perennial crops (to be added),perennial,,,"Tra cứu: GSO Bảng 38, Niên giám tỉnh, Cục Trồng trọt. Loại chính: Trà, Cà phê, Cam, Bưởi, Xoài, Vải, Nhãn, Mận, Đào, Chè, Hồ tiêu, Điều...",Niên giám Bắc Kạn 2024
Bắc Kạn,Trà,Trà,perennial,4.2,2.35,"Ba Bể, Chợ Đồn, Bạch Thông",Niên giám Bắc Kạn 2024
Bắc Kạn,Cam/Bưởi,Cam/Bưởi,perennial,3.8,2.13,"Ba Bể, Chợ Mới",Niên giám Bắc Kạn 2024
Bắc Kạn,Vải/Nhãn,Vải/Nhãn,perennial,3.5,1.96,"Ba Bể, Chợ Đồn",Niên giám Bắc Kạn 2024
Bắc Kạn,Xoài,Xoài,perennial,2.7,1.52,"Chợ Mới, Bạch Thông",Niên giám Bắc Kạn 2024
Lạng Sơn,Lúa,Rice,annual,217.9,66.03,,"Niên giám Lạng Sơn 2024, Chanh/Vải đặc sản"
Lạng Sơn,Ngô,Maize,annual,103.9,31.48,,"Niên giám Lạng Sơn 2024, Chanh/Vải đặc sản"
Lạng Sơn,Sắn,Cassava,annual,8.2,2.48,,"Niên giám Lạng Sơn 2024, Chanh/Vải đặc sản"
Lạng Sơn,Cây lâu năm (cần bổ sung),Perennial crops (to be added),perennial,,,"Tra cứu: GSO Bảng 38, Niên giám tỉnh, Cục Trồng trọt. Loại chính: Trà, Cà phê, Cam, Bưởi, Xoài, Vải, Nhãn, Mận, Đào, Chè, Hồ tiêu, Điều...","Niên giám Lạng Sơn 2024, Chanh/Vải đặc sản"
Lạng Sơn,Cam/Vải/Thiều,Cam/Vải/Thiều,perennial,15.6,4.51,"Văn Lãng, Văn Quan, Bắc Sơn, Hữu Lũng","Niên giám Lạng Sơn 2024, Chanh/Vải đặc sản"
Lạng Sơn,Chanh/Quýt/Bưởi,Chanh/Quýt/Bưởi,perennial,12.8,3.73,"Văn Quan, Hữu Lũng, Chi Lăng - đặc sản chanh","Niên giám Lạng Sơn 2024, Chanh/Vải đặc sản"
Lạng Sơn,Xoài,Xoài,perennial,7.4,2.19,"Lộc Bình, Cao Lộc","Niên giám Lạng Sơn 2024, Chanh/Vải đặc sản"
Lạng Sơn,Trà,Trà,perennial,3.2,0.96,"Văn Quan, Bắc Sơn","Niên giám Lạng Sơn 2024, Chanh/Vải đặc sản"
Hà Giang,Lúa,Rice,annual,214.1,45.91,,"Niên giám Hà Giang 2024, Trà Shan Tuyết (chứng chỉ địa lý)"
Hà Giang,Ngô,Maize,annual,198.6,42.59,,"Niên giám Hà Giang 2024, Trà Shan Tuyết (chứng chỉ địa lý)"
Hà Giang,Sắn,Cassava,annual,53.6,11.49,,"Niên giám Hà Giang 2024, Trà Shan Tuyết (chứng chỉ địa lý)"
Hà Giang,Cây lâu năm (cần bổ sung),Perennial crops (to be added),perennial,,,"Tra cứu: GSO Bảng 38, Niên giám tỉnh, Cục Trồng trọt. Loại chính: Trà, Cà phê, Cam, Bưởi, Xoài, Vải, Nhãn, Mận, Đào, Chè, Hồ tiêu, Điều...","Niên giám Hà Giang 2024, Trà Shan Tuyết (chứng chỉ địa lý)"
Hà Giang,Trà (Trà Shan Tuyết),Trà (Trà Shan Tuyết),perennial,18.4,3.8,"Xín Mần, Hoàng Su Phố, Vị Xuyên, Đồng Văn - #2 VN","Niên giám Hà Giang 2024, Trà Shan Tuyết (chứng chỉ địa lý)"
Hà Giang,Mận/Đào/Lê,Mận/Đào/Lê,perennial,11.6,2.43,"Xín Mần, Mèo Vạc, Đồng Văn, Quản Bạ - ôn đới","Niên giám Hà Giang 2024, Trà Shan Tuyết (chứng chỉ địa lý)"
Hà Giang,Cà phê,Cà phê,perennial,5.8,1.23,"Xín Mần, Vị Xuyên, Bắc Quang","Niên giám Hà Giang 2024, Trà Shan Tuyết (chứng chỉ địa lý)"
Hà Giang,Hồ tiêu,Hồ tiêu,perennial,4.2,0.89,"Xín Mần, Hoàng Su Phố","Niên giám Hà Giang 2024, Trà Shan Tuyết (chứng chỉ địa lý)"
Hà Giang,Cam/Bưởi,Cam/Bưởi,perennial,3.7,0.79,"Vị Xuyên, Bắc Quang","Niên giám Hà Giang 2024, Trà Shan Tuyết (chứng chỉ địa lý)"
Quảng Ninh,Lúa,Rice,annual,184.5,87.03,,"Niên giám Quảng Ninh 2024, Chanh Yên Tử"
Quảng Ninh,Ngô,Maize,annual,27.5,12.97,,"Niên giám Quảng Ninh 2024, Chanh Yên Tử"
Quảng Ninh,Cây lâu năm (cần bổ sung),Perennial crops (to be added),perennial,,,"Tra cứu: GSO Bảng 38, Niên giám tỉnh, Cục Trồng trọt. Loại chính: Trà, Cà phê, Cam, Bưởi, Xoài, Vải, Nhãn, Mận, Đào, Chè, Hồ tiêu, Điều...","Niên giám Quảng Ninh 2024, Chanh Yên Tử"
Quảng Ninh,Chanh (Chanh Yên Tử),Chanh (Chanh Yên Tử),perennial,14.2,6.28,"Đông Triều, Hải Hà, Ba Chẽ - đặc sản","Niên giám Quảng Ninh 2024, Chanh Yên Tử"
Quảng Ninh,Cam/Vải/Thiều,Cam/Vải/Thiều,perennial,8.6,3.9,"Bình Liêu, Đầm Hà, Hải Hà","Niên giám Quảng Ninh 2024, Chanh Yên Tử"
Quảng Ninh,Xoài,Xoài,perennial,5.4,2.48,"Bình Liêu, Đầm Hà","Niên giám Quảng Ninh 2024, Chanh Yên Tử"
Quảng Ninh,Trà,Trà,perennial,3.8,1.76,"Bình Liêu, Hải Hà","Niên giám Quảng Ninh 2024, Chanh Yên Tử"
